pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,895.5294938730517
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,896.5525556940436
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,896.5525556940436
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,896.5525556940436
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,895.5294938730517
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,895.5294938730517
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,895.5294938730517
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,895.5294938730517
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,896.5525556940436
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,896.5525556940436
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,896.5525556940436
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,895.5294938730517
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,895.5294938730517
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,895.5294938730517
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,895.5294938730517
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,896.5525556940436
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,896.5525556940436
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,896.5525556940436
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,895.5294938730517
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,895.5294938730517
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,895.5294938730517
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,895.5294938730517
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,896.5525556940436
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,896.5525556940436
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,896.5525556940436
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,895.5294938730517
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,895.5294938730517
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,895.5294938730517
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,895.5294938730517
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,896.5525556940436
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,896.5525556940436
